Country;Year;Expectancy
Australia;1815;34
Australia;1816;34
Australia;1817;34
Australia;1818;34
Australia;1819;34
Australia;1820;34
Australia;1821;34
Australia;1822;34
Australia;1823;34
Australia;1824;34
Australia;1825;34
Australia;1826;34
Australia;1827;34
Australia;1828;34
Australia;1829;34
Australia;1830;34
Australia;1831;34
Australia;1832;34
Australia;1833;34
Australia;1834;34
Australia;1835;34
Australia;1836;34
Australia;1837;34
Australia;1838;34
Australia;1839;34
Australia;1840;34
Australia;1841;34
Australia;1842;34
Australia;1843;34
Australia;1844;34
Australia;1845;34
Australia;1846;34
Australia;1847;34
Australia;1848;34
Australia;1849;34
Australia;1850;34
Australia;1851;34
Australia;1852;34
Australia;1853;34
Australia;1854;34
Australia;1855;34
Australia;1856;34
Australia;1857;34
Australia;1858;34
Australia;1859;34
Australia;1860;34
Australia;1861;34
Australia;1862;34
Australia;1863;34
Australia;1864;34
Australia;1865;34
Australia;1866;34
Australia;1867;34
Australia;1868;34
Australia;1869;34
Australia;1870;34
Australia;1871;35
Australia;1872;35
Australia;1873;36
Australia;1874;36
Australia;1875;37
Australia;1876;37
Australia;1877;38
Australia;1878;38
Australia;1879;39
Australia;1880;39
Australia;1881;40
Australia;1882;40
Australia;1883;41
Australia;1884;41
Australia;1885;42
Australia;1886;43
Australia;1887;43
Australia;1888;44
Australia;1889;44
Australia;1890;45
Australia;1891;45
Australia;1892;46
Australia;1893;46
Australia;1894;47
Australia;1895;47
Australia;1896;48
Australia;1897;48
Australia;1898;49
Australia;1899;49
Australia;1900;50
Australia;1901;51
Australia;1902;51
Australia;1903;52
Australia;1904;52
Australia;1905;53
Australia;1906;53
Australia;1907;54
Australia;1908;54
Australia;1909;55
Australia;1910;55
Australia;1911;56
Australia;1912;56
Australia;1913;57
Australia;1914;57
Australia;1915;58
Australia;1916;59
Australia;1917;59
Australia;1918;55
Australia;1919;60
Australia;1920;61
Australia;1921;61
Australia;1922;63
Australia;1923;62
Australia;1924;63
Australia;1925;63
Australia;1926;63
Australia;1927;63
Australia;1928;63
Australia;1929;63
Australia;1930;65
Australia;1931;66
Australia;1932;66
Australia;1933;66
Australia;1934;65
Australia;1935;65
Australia;1936;66
Australia;1937;66
Australia;1938;66
Australia;1939;66
Australia;1940;67
Australia;1941;66
Australia;1942;66
Australia;1943;67
Australia;1944;68
Australia;1945;69
Australia;1946;68
Australia;1947;69
Australia;1948;69
Australia;1949;69
Australia;1950;69
Canada;1815;39
Canada;1816;39
Canada;1817;39
Canada;1818;39
Canada;1819;39
Canada;1820;39
Canada;1821;39
Canada;1822;39
Canada;1823;39
Canada;1824;39
Canada;1825;39
Canada;1826;39
Canada;1827;39
Canada;1828;39
Canada;1829;39
Canada;1830;39
Canada;1831;39
